,MiFish.0321.1Prt.Up.1,MiFish.0321.2Brn.Dn.3,MiFish.0321.3Chk.Dn.1,MiFish.0321.3Chk.Dn.3,MiFish.0321.3Chk.Up.2,MiFish.0321.4Pad.Dn.2,MiFish.0321.4Pad.Dn.3,MiFish.0321.4Pad.Up11.1,MiFish.0321.4Pad.Up11.3,MiFish.0321.4Pad.Up5.1,MiFish.0321.4Pad.Up5.2,MiFish.0321.4Pad.Up5.3,MiFish.0321.5Sqm.Dn.3,MiFish.0321.5Sqm.Up.1,MiFish.0421.1Prt.Dn.1,MiFish.0421.1Prt.Dn.3,MiFish.0421.2Brn.Dn.2,MiFish.0421.2Brn.Dn.3,MiFish.0421.2Brn.Up.2,MiFish.0421.3Chk.Dn.1,MiFish.0421.3Chk.Dn.2,MiFish.0421.3Chk.Up.1,MiFish.0421.4Pad.Up11.2,MiFish.0421.4Pad.Up5.1,MiFish.0421.4Pad.Up5.2,MiFish.0421.5Sqm.Dn.2,MiFish.0421.5Sqm.Dn.3,MiFish.0421.5Sqm.Up.2,MiFish.0421.5Sqm.Up.3,MiFish.0821.1Prt.Dn.2,MiFish.0821.1Prt.Dn.3,MiFish.0821.1Prt.Up.2,MiFish.0821.1Prt.Up.3,MiFish.0821.2Brn.Dn.2,MiFish.0821.2Brn.Up.1,MiFish.0821.2Brn.Up.3,MiFish.0821.3Chk.Up.1,MiFish.0821.4Pad.Dn.1,MiFish.0821.5Sqm.Dn.1,MiFish.0821.2Brn.Dn.2TR2,MiFish.0821.2Brn.Dn.2TR3,MiFish.Kangaroo.Run.2,MiFish.0321.1Prt.Dn.1,MiFish.0321.1Prt.Up.2,MiFish.0321.2Brn.Dn.1,MiFish.0321.2Brn.Up.1,MiFish.0321.2Brn.Up.2,MiFish.0321.2Brn.Up.3,MiFish.0321.4Pad.Dn.1,MiFish.0321.5Sqm.Up.2,MiFish.0321.1Prt.Dn.1TR2,MiFish.0321.1Prt.Dn.1TR3,MiFish.0421.1Prt.Dn.2,MiFish.0421.3Chk.Dn.3,MiFish.0421.4Pad.Dn.1,MiFish.0421.4Pad.Up11.3,MiFish.0421.5Sqm.Up.1,MiFish.0421.3Chk.Dn.3TR2,MiFish.0421.3Chk.Dn.3TR3,MiFish.0821.1Prt.Dn.1,MiFish.0821.1Prt.Up.1,MiFish.0821.2Brn.Up.2,MiFish.0821.3Chk.Dn.2,MiFish.0821.4Pad.Dn.2,MiFish.0821.4Pad.Up11.3,MiFish.0821.4Pad.Up5.3,MiFish.0821.5Sqm.Dn.2,MiFish.Kangaroo.Run.3,MiFish.0321.1Prt.Dn.3,MiFish.0321.1Prt.Up.3,MiFish.0321.2Brn.Dn.2,MiFish.0321.3Chk.Dn.2,MiFish.0321.3Chk.Up.1,MiFish.0321.3Chk.Up.3,MiFish.0321.4Pad.Up11.2,MiFish.0321.5Sqm.Dn.1,MiFish.0321.5Sqm.Dn.2,MiFish.0321.5Sqm.Up.3,MiFish.0421.1Prt.Up.1,MiFish.0421.1Prt.Up.2,MiFish.0421.1Prt.Up.3,MiFish.0421.2Brn.Dn.1,MiFish.0421.2Brn.Up.1,MiFish.0421.3Chk.Up.2,MiFish.0421.3Chk.Up.3,MiFish.0421.4Pad.Dn.2,MiFish.0421.4Pad.Dn.3,MiFish.0421.4Pad.Up11.1,MiFish.0421.4Pad.Up5.3,MiFish.0421.5Sqm.Dn.1,MiFish.0821.2Brn.Dn.1,MiFish.0821.2Brn.Dn.3,MiFish.0821.3Chk.Dn.1,MiFish.0821.3Chk.Dn.3,MiFish.0821.3Chk.Up.2,MiFish.0821.3Chk.Up.3,MiFish.0821.4Pad.Dn.3,MiFish.0821.4Pad.Up11.1,MiFish.0821.4Pad.Up11.2,MiFish.0821.4Pad.Up5.1,MiFish.0821.4Pad.Up5.2,MiFish.0821.5Sqm.Dn.3,MiFish.0821.5Sqm.Up.1,MiFish.0821.5Sqm.Up.2,MiFish.0821.5Sqm.Up.3
Oncorhynchus clarkii;fd7d89190e5c165cf36284ea0fca46c98216328c,10823,32298,1881,38826,8701,5946,10794,3503,5051,0,516,0,40818,17520,13061,24623,13412,19621,0,47268,36368,49761,4068,3001,5620,27409,22258,29730,30159,6642,34507,10437,29498,39138,0,0,6522,831,69996,28396,32878,0,0,2480,17814,0,2220,0,7229,14271,0,3957,3827,1953,4780,753,12271,22611,16698,18132,3636,0,15983,1175,1637,0,21446,10,0,3166,2732,4955,0,5171,2029,19556,15461,25063,12483,36453,17980,3859,0,22619,22033,5455,6400,3267,1894,18386,32568,26859,9584,25280,45329,47251,1264,1356,1760,0,0,47824,29361,29964,26118
Oncorhynchus kisutch;02e4a86c119ca4b65e5b616135fa996aa2eb4372,1629,0,0,0,0,5528,1560,0,0,0,528,0,0,0,8904,27711,0,14463,0,0,0,0,667,0,0,3025,1527,1364,3559,2590,20306,4693,13229,14131,0,0,0,0,2435,9612,11174,0,5174,1846,0,0,0,0,966,2093,0,0,4196,0,578,0,743,0,0,5289,1162,0,0,176,1951,3938,702,8,1578,3477,0,189,0,0,0,0,0,697,12885,32605,13231,14042,0,0,0,3075,3366,494,0,713,8742,9983,0,0,0,0,69,2217,1905,8727,4729,1565,11248,10498,10050
Anatidae;ca4009e9f4961a466d717e77ddddcf64a374073d,45,0,0,0,0,88,76,236,712,538,0,0,0,71,0,5,0,0,0,482,607,0,417,40,30,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,659,0,0,0,0,3,0,0,133,0,0,106,5,0,0,39,0,0,0,0,0,0,0,0,0,191,36,0,59,0,0,198,0,0,0,11,70,27,0,0,141,233,64,50,97,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bilateria;7d8d284f8419abb75e2ddb771080f1475447d26c,19,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,39,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,105,8,0,0,0,0,0,0,0,0,0,0,0,0,0,372,16,0,0,0,0,0,25,0,0,0,0,0,0,0,14,0,0,0,0,0,0
Didelphis virginiana;8519a7f742cabfdb887dc2013feba40c4584b8db,7,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,144,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bilateria;580a64b0134da56e49bf06482ed6ee164d8a6ec5,0,12000,0,0,0,0,0,0,0,0,0,2,211,0,0,124,6376,36056,42304,481,0,0,0,0,0,0,0,0,0,0,12,774,0,2675,37774,56219,84,0,4,2799,2747,0,0,0,6839,15214,10392,9820,0,55,0,0,0,51,0,0,0,1639,0,7,0,22221,6474,0,0,0,0,0,0,0,10643,0,0,0,0,0,0,0,0,89,0,10785,4142,0,11578,0,0,0,0,0,5666,3858,7372,9571,667,458,0,0,0,0,0,0,0,0,0
Homo;d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,0,191,443,0,28,3,0,51,18,263,63,5,0,221,0,11,727,4,0,0,1315,95,0,0,0,0,0,5,2,0,0,248,0,31,0,0,0,154,0,25,14,381,0,0,91,0,471,0,25,0,0,0,0,5,0,0,60,22,22,0,0,0,0,0,0,0,0,160,0,0,0,28,0,0,0,0,0,0,35,0,0,365,0,147,3934,0,7,16,0,0,12,0,0,0,0,7,0,526,0,0,182,0,0,0,0
root;09c6e1785ec090a52b290777a5058509454bf61f,0,0,159,0,5043,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771,0,0,0,0,0,0,0,0,0,0,0,0,198,301,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cottus;49b916c007d3dbb75da7ceb655dd8cefb4e15ac4,0,0,0,0,0,30724,21636,8763,29983,13991,11186,11457,0,0,0,0,0,0,0,0,0,0,27936,14426,25857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9756,0,0,0,0,0,2314,6221,0,9,10,0,6,6,5,0,2300,430,0,0,0,0,0,5344,0,0,6954,0,0,0,0,0,0,0,0,0,0,9585,21130,20884,27105,0,0,0,0,0,0,0,0,3440,2581,2075,4175,0,0,0,0
Oncorhynchus mykiss;a56843c86d60d4423f69f4836868d31ea7eadf22,0,0,0,0,0,11189,14127,16642,8300,0,0,0,94,404,0,0,0,0,0,0,0,0,655,0,0,0,77,252,130,0,0,0,0,0,867,0,0,367,0,96,0,0,0,0,0,0,0,0,4879,0,0,0,0,0,638,1405,223,0,0,0,0,0,397,686,19624,0,0,0,0,0,0,3710,0,0,200,0,0,0,0,0,0,0,0,0,0,3503,3024,2182,1196,90,0,0,173,0,0,0,1067,25905,18423,0,0,0,0,0,0
Turdus migratorius;94b310b913e0d26c0720e1775a3f2a7f2dd6af18,0,0,0,0,0,112,304,0,244,0,0,0,0,0,2088,486,0,0,0,0,0,0,1287,0,0,0,10,0,26,0,75,2269,0,0,0,2520,5,0,92,0,0,0,0,0,0,0,0,0,794,225,0,0,0,14,86,62,38,591,295,41,265,188,0,0,61,0,85,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,931,1775,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,28,200,155,161
Canis;5dbce0075732b37e517721c275ba3c2e14e50196,0,0,0,0,0,194,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perca flavescens;e330f6d1a7768b21c34c1d9d6814f5b48c87b05a,0,0,0,0,0,0,1125,2,0,484,17,0,0,0,0,0,0,0,0,0,0,0,13863,23002,27806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7554,5264,0,0,0,0,0,0,0,0,0,949,0,0,0,0,0,930,0,0,5744,0,0,0,0,0,0,0,0,0,0,5526,11346,7039,17965,0,0,0,0,0,0,0,0,0,0,1612,0,0,0,0,0
Neognathae;bd2f7a173fd3c733d5234b14bff67d4c2dd58316,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncorhynchus;185824f7d4a43613756c10e1eb0fc14203c5fb2a,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncorhynchus mykiss;de42666eb0e70e73c99b1061e5e4bfe4477204b5,0,0,0,0,0,0,0,0,0,460,0,0,2763,3432,0,0,0,0,0,0,0,0,1596,4702,1161,0,705,2193,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,0,0,496,0,0,0,0,2422,4058,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,367,0,588,0,0,0,0,0,0,0,0,2956,3390,7325,5884,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Procyon;8001433422f2dfb9b7333084b5ae4a31130f34f2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambystoma;0af50c9e935876232e242db91bb835235691bf3a,0,0,0,0,0,0,0,0,0,0,0,0,332,42,4786,100,0,0,0,4846,0,0,0,0,0,726,0,0,0,8,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,323,0,200,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,876,1812,2989,2802,0,4017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambystoma;31f58f5089fdc196a53e11198d538061dd41bb97,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,459,8248,1538,0,0,0,0,0,362,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,974,0,0,0,0,0,10974,1357,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bilateria;c6d586dc78d8ef5cac238cba2d5714407775bd69,0,0,0,0,0,0,0,0,0,0,0,0,2566,98,0,64,0,0,0,0,0,0,0,0,0,614,87,314,725,0,0,0,0,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,218,0,0,0,0,0,0,173,0,0,17,0,0,45,0,172,0,0,0,0,0,0,0,0,0,0,636,267,891,0,0,0,0,0,0,0,96,0,0,0,518,0,0,0,0,0,0,0,222,64,0,0,0,0,0,0
Ambystoma;4be671e1ce0da6b1505cf3f3cbe98a49c6d2d7ff,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncorhynchus;54ede9cb45cc58cb41be2b4cede32f7b3ce71137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neognathae;5d2be06aa1ff742a96eae7b10b30f83e45e7047a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Percoidei;c51ba26786eb5812df3c3d681e5755e302ae36ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sus scrofa;d665a22273eb050425814dad353904c8b09a1f31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncorhynchus;de26beedf761d580fc97bc18ace14fa56f70ee00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncorhynchus;b30abeb51bb89f0e7d537abe96123cc870592d7a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gasterosteus aculeatus;31adf9b0bfe620438b8e730fd474cc27e61c3cc4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1720,0,0,0,0,0,0,0,0
Sciuridae;23c619d6fffd998ebd33fc4a32feda91287ea49e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carduelinae;9c97beb16679ecb7372370a34b07e5df5923ff76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncorhynchus nerka;bd4b9c9245a692142f393fe905f4f5d7d75bc4e7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmoninae;5a40ba128affb337e0f4ef136d888fd9001599dd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncorhynchus;ca63b9c36ce7e668fd43cabb3ca7ac3ae440e17e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0
