"","qseqid","sscinames"
"1","76918abfaa90d218d683fdbc4f8024dd430d7d91","Ascaphus truei"
"2","c6d586dc78d8ef5cac238cba2d5714407775bd69","Bos taurus"
"3","31adf9b0bfe620438b8e730fd474cc27e61c3cc4","Gasterosteus aculeatus"
"4","ed5e7e50aa64ed93aa7bb93f60e0d0ec95dd2cab","Sus scrofa"
"5","f3b1b944f738536215cd355d76bc8c2bffd66624","Oncorhynchus mykiss"
"6","02e4a86c119ca4b65e5b616135fa996aa2eb4372","Oncorhynchus kisutch"
"7","30742d31b3cc7a387b96133d0998ecee07c83597","Castor canadensis"
"8","38e693e5c3a9002b3c7fe03ba0f5d3e6440d86ea","Novumbra hubbsi"
"9","a56843c86d60d4423f69f4836868d31ea7eadf22","Oncorhynchus mykiss"
"10","e3bb86462242cc75b2d9159e96f588a2ca09a5d3","Rattus rattus"
"11","67cdd088bb558352e27cb2b5d229f838e8c11572","Paralabrax nebulifer"
"12","e330f6d1a7768b21c34c1d9d6814f5b48c87b05a","Perca flavescens"
"13","2eb18eaf3053e4bb306b47b42bd9c34863aef20b","Lithobates catesbeianus"
"14","1eacd6b8e7ccfd00e53e98c9ff9ecee454f0f29f","Meleagris gallopavo"
"15","f890c05925400fa5c31d090422bd25ffc1dbb2d2","Felis catus"
"16","7dae49817fac3bd37bd1ab61e10a98b36513016b","Felis catus"
"17","b05eac0ae6bebbb0f133eb32789a54e3cb90ddbe","Cymatogaster aggregata"
"18","00ee5a56c8d1170d97064d14e3c21996fa86eb6d","Castor fiber"
"19","042b7e251f5f6cb3090bafc8cbb3da9f5bf6e6e1","Castor fiber"
"20","63ea546506daae19fd3f9d01d355d7ece46bbdb5","Bos taurus"
"21","3fa5cad0e8bd81303eed0492a7c0dd91d85747be","Procyon lotor"
"22","140e4521a50917a6ab302aa8196755f98a78f54b","Castor canadensis"
"23","bfb8f4efcd1696c7eefa51d14607287c00bdbd7c","Castor canadensis"
"24","8cc095d0fde7c0840e1ee70e8b2816d586d7c037","Bos taurus"
"25","20c7f9dbdf79b3ad51debc2428d4a2d27daf3069","Mammuthus primigenius"
"26","82d2ca5faea5bec0e9ddf893aea2b2399ae27e8f","Oncorhynchus nerka"
"27","78c6cda8f1613447cf0cc79a3e7f659d9b9d608b","Salmo trutta trutta"
"28","ca10abaa969662cded6eba24df2960dad3485719","Micropterus salmoides salmoides"
"29","49b916c007d3dbb75da7ceb655dd8cefb4e15ac4","Cottus gobio"
"30","94b310b913e0d26c0720e1775a3f2a7f2dd6af18","Turdus migratorius"
"31","9a69c3a268c7129726a4be25bfaacf024a80a18a","Oncorhynchus keta"
"32","fd7d89190e5c165cf36284ea0fca46c98216328c","Oncorhynchus clarkii lewisi"
"33","98f92aa12195301ebbd47287eb23c45cffe10ffa","Oncorhynchus tshawytscha"
"34","7aa929fd12fc38856e105d3092ae8752af4b44da","Osphranter rufus"
"35","d15e926efd8720231adb32a8b4e6e40608827676","Ameiurus nebulosus"
"36","e747eef0a339a503193d10c42b71ef028bca3fc0","Poecile atricapillus"
"37","50d5a3f2b4d167cfbca17d817316739f8f89fe8d","Oncorhynchus gorbuscha"
"38","e3f94823c5b562c70b6976a56b257d07f347300a","Regulus calendula"
"39","03ac9e716fe523c4c84442c146d5a142dbaec2b8","Hippoglossus stenolepis"
"40","dc1779e8fa382387a1bdee2fff5959c7611b90b3","Dinornis robustus"
"41","6942200cdd388deece3c3b8d8b7c0a68f344bf32","Paralabrax maculatofasciatus"
"42","15903b34a9ddf3e5fac7751a3fb4553cba9c950a","Sebastes paucispinis"
"43","71e16d364efebb9b59a08f3dd90757e3b4b13447","Oreochromis niloticus x Oreochromis aureus"
"44","a637bf43d5e132d153855d8251665d935ea12a0b","Ophiodon elongatus"
"45","31026d1c0665501b8e53beadf5a3647582359b14","Paralabrax clathratus"
"46","311dc383535518bf3e6f854961ac2d777cc957f9","Regulus satrapa"
"47","d5f832529f6b73fadb1b9087af48bf9a8dc101c8","Aix sponsa"
"48","815465bf4218c40e60200ea518c5d7cbabd61f1c","Engraulis mordax"
"49","5a0c3363fdff5328d9329fe07af54c881ec0fbf2","Neogale vison"
"50","631402d8ed10c8b197e1d67c208b29b9ba254a64","Salvelinus malma"
"51","478dd98db3a0a5b681d314fcd6aa476db6e43489","Thaleichthys pacificus"
"52","7a3cd79f5f5aa22838cecef14cdd58de3a051b02","Scorpaenichthys marmoratus"
"53","bc392f2ab2d28f1c9aa2a98ebf78c0d707871993","Anaxyrus exsul"
"54","56b85a262e73a6e60ef0c6d33c4d23a70da33cc0","Sebastes wakiyai"
"55","d375db6821a4402acdeffb3d216d4abdc355cd48","Melospiza melodia"
"56","215a1f59dbebd89ecaf8223653610b041c1e6baa","Piranga ludoviciana"
"57","c458bfbd8c0ac4b00203e7ac33d77c8141488906","Tachycineta thalassina"
"58","2c79a691f61d8877b4c2f3953447d6e033680d33","Salvelinus sp. 4 ADK-2017"
"59","7ac490417f5aeaf9e327657f193c8fd6a03e2585","Aplodontia rufa"
"60","06a946d5a422494c1c67a9c47b31dc42cb821da2","Junco hyemalis"
"61","c82f7e346d3caf1921c1359eba4f9b9f03310751","Mammuthus primigenius"
"62","d28ed2ba2d710775fd79b25622a042b2c75aafa4","Squalus acanthias"
"63","f3d5863f9d49fc73652ae616bd0a22b9ab62d094","Neurotrichus gibbsii"
"64","8519a7f742cabfdb887dc2013feba40c4584b8db","Didelphis virginiana"
"65","bbb3bcc890abbefe2371f7ee55542ef8cb9debc9","Osphranter rufus"
"66","5dbee979ecb7289c82f08bbf7ff5d91a3f8aae01","Haemorhous mexicanus"
"67","885a8f14568847b76f62b3ae3db8afbb23d933a8","Alosa sapidissima"
"68","5d6a5f2116231e5e92600d866977dda093cd30bc","Scapanus orarius"
"69","6251eedf9452700d1868523427d52f08d683f85b","Tachycineta bicolor"
"70","c079dc9631f80d61302584576eb03ce937a562f7","Megaceryle alcyon"
"71","e1b718d16ed2c3af23b4603ecba5ccece5f486bf","Mammuthus primigenius"
"72","34b95af64697c2feb0ab121d484733666197ae1f","Branta canadensis"
"73","827f99ae61c4f9a80e1b415ff8de0c02d35659dd","Pipilo maculatus"
"74","cd95a9d4b4b049792bb1cf2033b33c0dc30fef5d","Macropus giganteus"
"75","31f41238b2d21ab702054de79fed82ed77bc94f2","Macropus fuliginosus"
"76","09f093bfcd98bd11c8beb13cdb216b19b8a8883c","Macropus cf. giganteus TL-2021"
"77","2a0197678300368ee235231d107a595a8efc3b42","Stenobrachius leucopsarus"
"78","c5e68c1be2dc61dbb94b7d82cf13341612d1617a","Osphranter rufus"
"79","34c72e05fee9147682747865dcf4a874e8e6dc29","Atheresthes evermanni"
"80","fed2fe40f29cda89c5b4aa3df66dea6db9fbf2a2","Oreochromis niloticus x Oreochromis aureus"
"81","4469963007906f1a3b3b48fc9a9583f392160985","uncultured cyanobacterium"
"82","41f7f70b9a0e5588c1da27aaab8b61682e41e656","Puma yagouaroundi"
"83","79ef5f3022799012e3a7a11acb9264a1100e9a96","Stegastes aureus"
"84","0efb6a1767e3d8621c3718d7ee000d9c2adfcacd","Sus scrofa"
"85","ab5f0eddb2786c5ae144a6bafda5a1edac68365e","Cottus cognatus"
"86","5e1ea8292dcf869fddd3868559936f35ed0041e1","Platichthys stellatus"
"87","d348c23013e4fa8ffe0fe3396d9f3451fe88db6b","Merluccius productus"
"88","70e8e188ebdd7ea3d78d9c745f097cb48e934f95","Entosphenus tridentatus"
"89","035c13e46fd3efb49b91da1fff7387bb3f4117e3","Mammuthus primigenius"
"90","0be19d364e09c198fcbdca74c0809ea15ef4a0b9","Mammuthus primigenius"
"91","0277738e469c8f877329dd0627290cda78519e48","Mammuthus primigenius"
"92","411112679689e9223635379b74caab9a35dcc004","Mammuthus primigenius"
"93","9585583df5a45648ca14ba780234a353bca3e01f","Mammuthus primigenius"
"94","b0c4b5a8c0d0e97a0693fd3acba368d4c3b13bf1","Rana luteiventris"
"95","c15dd4e5907d04e42eb7e07f6d72f0c65e519f26","Mammuthus primigenius"
"96","8c3ad99ab8ca092bf8f37f3e20ee0113910b59ad","Mammuthus primigenius"
"97","021c4f133bb6a2b0495d45f1e9362e1fa5ad692c","Mammuthus primigenius"
"98","5829bcd703f2a9e5ea2e6c6947852877cd19a983","Mammuthus primigenius"
"99","a4fd3497e5b0035bfd2414722df4e5763df7dfd5","Castor fiber"
"100","86fd2f0782c101d951f36091d176b1dd68ef8de1","Mammuthus primigenius"
"101","69a025b9d94f7eded4ba01e8cfddfcb1be6733f0","Mammuthus primigenius"
"102","506fb2e0def25a2321a006582264115453eaf867","Castor fiber"
"103","20ace1da6aaf7efc54e5be3c96d713bc71238ac4","Mammuthus primigenius"
"104","7c7d158cdaf60b6e834577eaa341989d2f3a1697","Aplodontia rufa"
"105","8b14c93f1397b9332dad055f0a0fc595f3646681","Cottus poecilopus"
"106","d84391b013a0c0b0f0e588766fb6a2f47f8bc81c","Turdus abyssinicus"
"107","0a3f5fde1bbb570e4705a194d016c59a57f82481","Cottus poecilopus"
"108","139ff38d8eb60547dba8a13573cc4d1939382544","Pyrrhocorax pyrrhocorax"
"109","2435eb1079be3ac735d5301e934ec881cf409ceb","Sittiparus varius namiyei"
"110","3a6a9122e22ef8cce1f5cb1d9da6fda8b3a157ef","Etropus microstomus"
"111","1a9fcb6105fadfcc2f4feac8875ffef8da6db3c2","Etropus microstomus"
"112","9592a4ab6453a677ba409de61ccd9ceb9627d20a","Etropus microstomus"
"113","d3a973efbba962488ffbf56a5faaec76ad1925a8","Sardinops sagax"
"114","2888591f23daf76ef3ae53a7d4bd6ffe13361bb8","Ondatra zibethicus"
"115","1c6d757a385993942374fd4c94f562e4dda52ae5","Cottus gobio"
"116","762874ae34a100fa6212e778b2265633b7113596","Ploceus ocularis"
"117","6f93809b6bc63b61b0d350733addd08a6ab86f2e","Ardea purpurea"
"118","6d2015bef5f47452896ebee8aca282525a742131","Dinornis robustus"
"119","3790a41fc458cb2fa0b80e27a79405121163ae49","Puma concolor"
"120","a8ee646c188b0c06c77f16e89f7e4223df1b3ce1","Sebastes wakiyai"
"121","6839f85e5feb0227a9953db6121f0e84161b366e","Rhinoraja longicauda;Bathyraja trachouros"
"122","9c53d265314cb79ca072a5a4cb53a03c99a125c6","Dinornis robustus"
"123","aa5818327c00eebaf0a1d977dfaac7e0c643c622","Piranga leucoptera"
"124","cce45cc7e4ea0594ae1859ee98f0420718bcd348","Bos taurus"
"125","01b6f154e9e1c96526482c6b443345d5ebd792d1","Sebastes wakiyai"
"126","e1f7fb69621f3a27b6001ae4f8b810904c8d33c9","Dinornis robustus"
"127","df3ec2d9d2b8a387a2af461f6c1fbc7b7feb2458","Dinornis robustus"
"128","905f024774cb9552a4d8e59beb7f1988a4b179d3","Oncorhynchus nerka"
"129","c2695d603e8149b61b7a32bc7919e5ee5e76fd12","Sebastes wakiyai"
"130","afb6e29d578074f7a4ffe420bed62b2babbaa2c1","Potorous platyops"
"131","9becf343f91982b014f8358523d56ec9a84ca816","Dinornis robustus"
"132","418d5ed20b679f800b258f567825c92d012bc96e","Setophaga kirtlandii"
"133","86904fc1afb4f55eae3ffb07ed5b27b59ce1da30","Pleuronichthys ritteri"
"134","3db492f4716a04f894bceb195ec2df6c0ff627ce","Protemnodon anak"
"135","73edb32200ba1f33d346e66c58616dc202c26308","Icelus spatula"
"136","7cbe946625f416ad59615f0ddca7884268f33de2","Troglodytes troglodytes mosukei"
"137","532b5d019a513a17bc04b6bfb52d115753882531","Cottus cognatus"
"138","83c42f6788444d029728771c178933a1212c25d8","Puma concolor"
"139","f89061c8852671127f3503aebcf7095032b639ad","Ploceus ocularis"
"140","1a49f11fcb4d876f9b04aebbdae6602f8586ecc9","Oncorhynchus nerka"
"141","7eb7b85cd4d1267b7272d76ac7a008e3a7172c93","Philander opossum"
"142","0cedfc21bdbe73715c943f7f8275d466e7d43510","Philander opossum"
"143","609119e3364be9a488f1610825ea1a7ac3f58db4","uncultured cyanobacterium"
"144","b7eb26b7d6175fd0cce928f0eb09e965e81ce57d","Cottus cognatus"
"145","605c4124d237cd25c388d32a579e0f0c79e2c9b0","Sus scrofa"
"146","4d4b96470d39566a301dcc9a878b9fd0242e9a4a","Virgulinella fragilis"
"147","e66e4274b898d1c8c4cf6c4eecbab4f1b879539f","Philander opossum"
"148","56d172ac9efc487235f92ec4bb30e3e0db90c455","Semicossyphus pulcher"
"149","44788d7e28fa3d930d177785be4b0d41d52862db","Petrogale xanthopus"
"150","4d3109e36add08577354734af4761da885f89d23","Argyrosomus japonicus"
"151","75bf5f3e496068cc6f1cca4fe1f1a2cfccdf67fe","Prionailurus planiceps"
"152","3bc3b53cba4c0d3e566ffa796e6bf6e266f287bb","Oncorhynchus nerka"
"153","ae77d606e4c5ac9df86c065675561e34625cfb7e","Cottus poecilopus"
"154","5dad482c4f8c82126a27aac2bb8be9c3a8ff4bde","Oncorhynchus nerka"
