"","tot","taxon","marker"
"1",162772,"Osphranter rufus","COI"
"2",103572,"Osphranter rufus","COI"
"3",5386,"Hydra oligactis","COI"
"4",2277,"Hydra oligactis","COI"
"5",1224,"Clytia hemisphaerica","COI"
"6",1169,"Macropus giganteus","COI"
"7",1120,"Macropus fuliginosus","COI"
"8",1062,"Macropus giganteus","COI"
"9",887,"Parapsyche almota","COI"
"10",886,"Lepidostoma cascadense","COI"
"11",730,"Castor canadensis","COI"
"12",679,"Pteronarcys princeps","COI"
"13",592,"Stylodrilus heringianus","COI"
"14",546,"Hydra vulgaris","COI"
"15",542,"Dendrodrilus rubidus","COI"
"16",457,"Lepidostoma unicolor","COI"
"17",379,"Wormaldia anilla","COI"
"18",358,"Psychoglypha alascensis","COI"
"19",346,"Didelphis virginiana","COI"
"20",304,"Synchaeta pectinata","COI"
"21",197,"Meloidogyne naasi","COI"
"22",195,"Hydra vulgaris","COI"
"23",155,"Homo sapiens","COI"
"24",148,"Lumbriculus variegatus","COI"
"25",146,"Lumbricus terrestris","COI"
"26",133,"Rotaria rotatoria","COI"
"27",132,"Osphranter robustus","COI"
"28",126,"Aporrectodea caliginosa","COI"
"29",125,"Hydra vulgaris","COI"
"30",121,"Stylodrilus heringianus","COI"
"31",120,"Stylodrilus heringianus","COI"
"32",114,"Hydra vulgaris","COI"
"33",112,"Pteronarcys princeps","COI"
"34",105,"Oncorhynchus kisutch","COI"
"35",102,"Hydra vulgaris","COI"
"36",96,"Lumbricus terrestris","COI"
"37",91,"Spongilla lacustris","COI"
"38",90,"Aporrectodea caliginosa L3","COI"
"39",80,"Daphnia pulicaria","COI"
"40",74,"Perca flavescens","COI"
"41",73,"Argyresthia goedartella","COI"
"42",68,"Hydra vulgaris","COI"
"43",67,"Dolophilodes novusamericanus","COI"
"44",58,"Lumbricus rubellus","COI"
"45",58,"Argyresthia goedartella","COI"
"46",52,"Tubifex tubifex","COI"
"47",52,"Corbicula fluminea","COI"
"48",51,"Rhyacophila narvae","COI"
"49",50,"Aporrectodea caliginosa","COI"
"50",49,"Eiseniella tetraedra","COI"
"51",48,"Lumbricus terrestris","COI"
"52",44,"Eiseniella tetraedra","COI"
"53",43,"Rana catesbeiana","COI"
"54",42,"Aporrectodea caliginosa L3","COI"
"55",41,"Octolasion cyaneum","COI"
"56",38,"Baetis bicaudatus","COI"
"57",38,"Ardea herodias","COI"
"58",36,"Pimephales promelas","COI"
"59",33,"Dendrodrilus rubidus","COI"
"60",31,"Cyanocitta stelleri","COI"
"61",30,"Onocosmoecus unicolor","COI"
"62",29,"Arion ater","COI"
"63",29,"Pacifastacus leniusculus","COI"
"64",28,"Tipula usitata","COI"
"65",28,"Isotomurus graminis","COI"
"66",28,"Arion rufus","COI"
"67",27,"Rhyacodrilus falciformis","COI"
"68",26,"Stylodrilus heringianus","COI"
"69",26,"Lumbriculus variegatus","COI"
"70",26,"Parapsyche almota","COI"
"71",25,"Spinus spinus","COI"
"72",24,"Hydra viridissima","COI"
"73",24,"Troglodytes troglodytes","COI"
"74",23,"Ctenosciara hyalipennis","COI"
"75",23,"Glossosoma penitus","COI"
"76",21,"Dendrodrilus rubidus","COI"
"77",21,"Arion silvaticus","COI"
"78",20,"Arion subfuscus","COI"
"79",19,"Onocosmoecus unicolor","COI"
"80",19,"Hydra vulgaris","COI"
"81",19,"Euchlanis dilatata","COI"
"82",18,"Limnephilus nogus","COI"
"83",18,"Glossosoma penitus","COI"
"84",18,"Lumbricus terrestris","COI"
"85",16,"Selenia alciphearia","COI"
"86",16,"Hydriomena marinata","COI"
"87",16,"Octolasion tyrtaeum","COI"
"88",16,"Rhyacophila grandis","COI"
"89",16,"Eisenia fetida","COI"
"90",16,"Chironomus maturus","COI"
"91",16,"Passerella iliaca","COI"
"92",16,"Tipula paludosa","COI"
"93",15,"Ondatra zibethicus","COI"
"94",14,"Compsilura concinnata","COI"
"95",13,"Ophyiulus pilosus","COI"
"96",13,"Cottus asper","COI"
"97",13,"Lumbricus terrestris","COI"
"98",13,"Lumbricus terrestris","COI"
"99",12,"Lumbricus terrestris","COI"
"100",12,"Pristina aequiseta","COI"
"101",12,"Nais variabilis","COI"
"102",12,"Parapsyche elsis","COI"
"103",12,"Araeopidius monachus","COI"
"104",11,"Dero digitata","COI"
"105",11,"Octolasion cyaneum","COI"
"106",11,"Barypeithes pellucidus","COI"
"107",11,"Homo sapiens","COI"
"108",11,"Psychoglypha alascensis","COI"
"109",11,"Rhyacophila perplana","COI"
"110",10,"Dero digitata","COI"
"111",10,"Aporrectodea caliginosa L3","COI"
"112",10,"Allolobophora chlorotica L2","COI"
"113",9,"Arion subfuscus","COI"
"114",9,"Parapsyche elsis","COI"
"115",9,"Dermatophagoides farinae","COI"
"116",9,"Rhyacophila angelita","COI"
"117",9,"Goeracea genota","COI"
"118",9,"Biston betularia","COI"
"119",9,"Eunapius fragilis","COI"
"120",8,"Lumbricus terrestris","COI"
"121",8,"Chironomus maturus","COI"
"122",8,"Skistodiaptomus pallidus","COI"
"123",8,"Venusia cambrica","COI"
"124",8,"Rattus rattus","COI"
"125",8,"Ixoreus naevius","COI"
"126",8,"Cryptochia pilosa","COI"
"127",7,"Paracladura trichoptera","COI"
"128",7,"Cardellina pusilla","COI"
"129",7,"Plectrocnemia variegata","COI"
"130",7,"Arion ater","COI"
"131",7,"Euplexia benesimilis","COI"
"132",7,"Lumbricus rubellus","COI"
"133",7,"Zygiella atrica","COI"
"134",7,"Eiseniella tetraedra","COI"
"135",7,"Lumbricus terrestris","COI"
"136",7,"Dendrobaena octaedra","COI"
"137",7,"Cottus asper","COI"
"138",7,"Rhynchodemus sylvaticus","COI"
"139",7,"Ceratopsyche amblis","COI"
"140",7,"Potamopyrgus antipodarum","COI"
"141",7,"Limnephilus externus","COI"
"142",6,"Oncorhynchus kisutch","COI"
"143",6,"Neurotrichus gibbsii","COI"
"144",6,"Arion intermedius","COI"
"145",6,"Aporrectodea rosea","COI"
"146",6,"Nais variabilis","COI"
"147",6,"Drosophila suzukii","COI"
"148",6,"Epinotia albangulana","COI"
"149",5,"Lumbricus castaneus","COI"
"150",5,"Cramptonomyia spenceri","COI"
"151",5,"Eiseniella tetraedra","COI"
"152",5,"Stylodrilus heringianus","COI"
"153",5,"Limax maximus","COI"
"154",5,"Araeopidius monachus","COI"
"155",5,"Culiseta incidens","COI"
"156",5,"Lepidostoma unicolor","COI"
"157",5,"Lumbricus terrestris","COI"
"158",4,"Rhyacophila vedra","COI"
"159",4,"Hesperoperla pacifica","COI"
"160",4,"Ceranemota fasciata","COI"
"161",4,"Pseudothyatira cymatophoroides","COI"
"162",4,"Ameiurus nebulosus","COI"
"163",4,"Lumbricus terrestris","COI"
"164",3,"Limnephilus externus","COI"
"165",3,"Limax maximus","COI"
"166",3,"Poecile rufescens","COI"
"167",3,"Scaphinotus angusticollis","COI"
"168",3,"Zootermopsis angusticollis","COI"
"169",3,"Rhyacophila brunnea","COI"
"170",3,"Dendrobaena octaedra","COI"
"171",3,"Procyon lotor","COI"
"172",3,"Synageles venator","COI"
"173",3,"Eisenia fetida","COI"
"174",3,"Junco hyemalis","COI"
"175",3,"Pimephales promelas","COI"
"176",3,"Eucallipterus tiliae","COI"
"177",3,"Micropsectra polita","COI"
"178",3,"Aquarius remigis","COI"
"179",3,"Habrosyne scripta","COI"
"180",2,"Arion intermedius","COI"
"181",2,"Crangonyx floridanus","COI"
"182",2,"Dendrobaena octaedra","COI"
"183",2,"Argyresthia goedartella","COI"
"184",2,"Ceratophysella denticulata","COI"
"185",2,"Limnodrilus claparedianus","COI"
"186",2,"Daphnia obtusa","COI"
"187",2,"Bos taurus","COI"
"188",2,"Fujientomon dicestum","COI"
"189",2,"Limnephilus externus","COI"
"190",2,"Dendrobaena attemsi","COI"
"191",2,"Banasa dimiata","COI"
"192",1488244,"Oncorhynchus clarkii","MiFish"
"193",333542,"Oncorhynchus kisutch","MiFish"
"194",213966,"Pimephales promelas","MiFish"
"195",168429,"Osphranter rufus","MiFish"
"196",140525,"Oncorhynchus mykiss","MiFish"
"197",130228,"Perca flavescens","MiFish"
"198",88464,"Lampetra sp. CBM:ZF:17561","MiFish"
"199",47694,"Oncorhynchus mykiss","MiFish"
"200",34495,"Pimephales promelas","MiFish"
"201",17306,"Ameiurus nebulosus","MiFish"
"202",15730,"Turdus migratorius","MiFish"
"203",11162,"Lynx rufus","MiFish"
"204",4628,"Gasterosteus aculeatus","MiFish"
"205",1345,"Osphranter rufus","MiFish"
"206",1336,"Oncorhynchus keta","MiFish"
"207",1332,"Didelphis virginiana","MiFish"
"208",926,"Sus scrofa","MiFish"
"209",563,"Oncorhynchus nerka","MiFish"
"210",502,"Neurotrichus gibbsii","MiFish"
"211",309,"Regulus calendula","MiFish"
"212",239,"Salmo trutta","MiFish"
"213",218,"Sus scrofa","MiFish"
"214",127,"Sus scrofa","MiFish"
"215",117,"Canis lupus","MiFish"
"216",88,"Oncorhynchus nerka","MiFish"
"217",82,"Melospiza melodia","MiFish"
"218",71,"Canis lupus","MiFish"
"219",32,"Poecile atricapillus","MiFish"
"220",27,"Aix sponsa","MiFish"
"221",14,"Canis lupus","MiFish"
"222",9,"Pipilo maculatus","MiFish"
"223",580556,"Oncorhynchus clarkii","MiMammal"
"224",402668,"Didelphis virginiana","MiMammal"
"225",218098,"Lynx rufus","MiMammal"
"226",178256,"Osphranter rufus","MiMammal"
"227",86256,"Neurotrichus gibbsii","MiMammal"
"228",85075,"Oncorhynchus kisutch","MiMammal"
"229",56912,"Melospiza melodia","MiMammal"
"230",44283,"Oncorhynchus mykiss","MiMammal"
"231",44185,"Perca flavescens","MiMammal"
"232",36304,"Canis lupus","MiMammal"
"233",29901,"Canis lupus","MiMammal"
"234",14263,"Lampetra sp. CBM:ZF:17561","MiMammal"
"235",13797,"Pipilo maculatus","MiMammal"
"236",11568,"Oncorhynchus mykiss","MiMammal"
"237",11362,"Sus scrofa","MiMammal"
"238",8448,"Branta canadensis","MiMammal"
"239",7101,"Pimephales promelas","MiMammal"
"240",6147,"Gasterosteus aculeatus","MiMammal"
"241",5660,"Ameiurus nebulosus","MiMammal"
"242",5135,"Scapanus orarius","MiMammal"
"243",4205,"Tachycineta bicolor","MiMammal"
"244",4162,"Osphranter rufus","MiMammal"
"245",4052,"Sus scrofa","MiMammal"
"246",4046,"Ondatra zibethicus","MiMammal"
"247",3600,"Sus scrofa","MiMammal"
"248",3437,"Aix sponsa","MiMammal"
"249",2023,"Pimephales promelas","MiMammal"
"250",1916,"Felis catus","MiMammal"
"251",1735,"Haemorhous mexicanus","MiMammal"
"252",1636,"Neovison vison","MiMammal"
"253",1317,"Taricha granulosa","MiMammal"
"254",1237,"Felis catus","MiMammal"
"255",867,"Meleagris gallopavo","MiMammal"
"256",714,"Aplodontia rufa","MiMammal"
"257",685,"Junco hyemalis","MiMammal"
"258",434,"Piranga ludoviciana","MiMammal"
"259",429,"Canis lupus","MiMammal"
"260",288,"Poecile atricapillus","MiMammal"
"261",281,"Bos taurus","MiMammal"
"262",277,"Megaceryle alcyon","MiMammal"
"263",268,"Cairina moschata","MiMammal"
"264",183,"Pheucticus melanocephalus","MiMammal"
"265",176,"Osphranter robustus","MiMammal"
"266",173,"Regulus satrapa","MiMammal"
"267",149,"Bombycilla cedrorum","MiMammal"
"268",142,"Bos taurus","MiMammal"
"269",115,"Sus scrofa","MiMammal"
"270",96,"Rattus norvegicus","MiMammal"
"271",41,"Tachycineta thalassina","MiMammal"
"272",40,"Turdus migratorius","MiMammal"
"273",10,"Micropterus salmoides","MiMammal"
"274",4,"Sturnus vulgaris","MiMammal"
